Year (Upto 31st March) (Col.1),Central - Motor Vehicle & Accessories - Import Duty (Col.2),Central - Motor Vehicle & Accessories - Excise Duty (Col.3),Central - Tyres and Tubes - Import Duty (Col.4),Central - Tyres and Tubes - Excise Duty (Col.5),Central - High Speed Diesel Oil - Import Duty (Col.6),Central - High Speed Diesel Oil - Excise Duty (Col.7),Central - Motor Spirit - Import Duty (Col.8),Central - Motor Spirit - Excise Duty (Col.9),States - Motor Vehicle Taxes & Fees (Col.11),States - Sales Tax on Motor Spirit & Lubricants (B) (Col.12),States - Taxes on Passengers and Goods Traffic (Col.13)
1950-51,9.4,0,0.1,4,19.4,1.9,0,0,0,12.5,0.1
1955-56,10.2,0,0.1,5.6,7.1,22.6,0,0,13.9,8.9,3
1960-61,14.8,10.5,0.9,13.4,7.5,64.6,0,0,29.9,16.9,8.4
1965-66,26.9,20.8,0.2,28.8,29.4,166.2,0,0,61.8,31.5,33.4
1970-71,14.3,28,1,54.9,4.3,349.3,0,0,107.7,63.2,60.5
1975-76,54.8,82.3,1.4,134.5,21.7,243.6,8.2,404,209.7,92,160.5
1980-81,52.7,250.4,1.6,288.3,106.7,223.2,8,492.1,356.3,154.5,239.6
1981-82,79.7,355.1,2.8,360.4,59.4,290.6,10.2,518.4,440.8,158.8,228.6
1982-83,104.2,307.4,6.8,408.6,76.4,293.2,6.1,560.9,496.5,212.2,354
1983-84,109.1,346.7,0,398.1,69.6,423.1,1.9,618.6,577.7,273.6,362
1984-85,141.1,409.7,0,405.7,97.7,440.5,3.7,669.8,711,290.2,340.3
1985-86,198.4,482.3,0,492.9,32.2,454.7,5.7,794,835.5,322,395.7
1986-87,252.8,634.8,0,5205,0,489.1,0,814,983.1,430,459.9
1987-88,234,689.4,0,556.7,0,673.9,0,902.5,1135.5,482.2,606.4
1988-89,264.9,881.7,0,675.6,0,712.2,0,1034.3,1250.8,506.6,813.9
1989-90,300.6,1174.2,0,629,0,768.8,0,1200.5,1248.2,723.6,727.8
1990-91,351.8,1510.9,0,803.4,0,727.6,0,1202.3,1374.3,776,884.9
